algorithm,heuristic,calculation_time,cost,ride_time,line_changes
Dijkstra,,65,31,31,2
A* time,Manhattan,9,31,31,2
A* time,Euclidean,7,31,31,2
A* time,Chebyshev,4,46,46,4
A* time,Octile,6,46,46,4
A* changes,Manhattan,10,2,33,2
A* changes,Euclidean,10,2,33,2
A* changes,Chebyshev,10,2,33,2
A* changes,Octile,9,2,33,2
Dijkstra,,75,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,8,2,33,2
A* changes,Chebyshev,9,2,33,2
A* changes,Octile,10,2,33,2
Dijkstra,,76,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,3,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,7,2,33,2
Dijkstra,,46,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,49,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,48,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,48,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,1,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,47,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,2,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,7,2,33,2
A* changes,Euclidean,6,2,33,2
A* changes,Chebyshev,7,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,47,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,47,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,2,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,6,2,33,2
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,7,2,33,2
A* changes,Octile,6,2,33,2
