algorithm,heuristic,calculation_time,cost,ride_time,line_changes
Dijkstra,,66,31,31,2
A* time,Manhattan,9,31,31,2
A* time,Euclidean,6,31,31,2
A* time,Chebyshev,4,46,46,4
A* time,Octile,6,46,46,4
A* changes,Manhattan,6,3,293,3
A* changes,Euclidean,6,2,33,2
A* changes,Chebyshev,5,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,82,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,2,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,77,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,4,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,3,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,47,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,3,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,3,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,48,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,5,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,48,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,4,2,33,2
Dijkstra,,57,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,7,46,46,4
A* time,Octile,5,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,9,2,33,2
A* changes,Chebyshev,5,2,33,2
A* changes,Octile,4,2,33,2
Dijkstra,,71,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,4,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,6,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,4,2,33,2
Dijkstra,,54,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,6,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,5,2,33,2
Dijkstra,,74,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,5,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,5,3,293,3
A* changes,Euclidean,4,2,33,2
