algorithm,heuristic,calculation_time,cost,ride_time,line_changes
Dijkstra,,88,29,29,1
A* time,Manhattan,7,41,41,2
A* time,Euclidean,9,29,29,1
A* time,Chebyshev,8,29,29,1
A* time,Octile,10,29,29,1
A* changes,Manhattan,9,2,43,2
A* changes,Euclidean,10,2,43,2
A* changes,Chebyshev,15,2,43,2
A* changes,Octile,11,2,43,2
Dijkstra,,88,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,5,29,29,1
A* time,Chebyshev,4,29,29,1
A* time,Octile,8,29,29,1
A* changes,Manhattan,5,2,43,2
A* changes,Euclidean,6,2,43,2
A* changes,Chebyshev,6,2,43,2
A* changes,Octile,6,2,43,2
Dijkstra,,86,29,29,1
A* time,Manhattan,2,41,41,2
A* time,Euclidean,4,29,29,1
A* time,Chebyshev,2,29,29,1
A* time,Octile,2,29,29,1
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,3,2,43,2
A* changes,Octile,3,2,43,2
Dijkstra,,43,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,3,29,29,1
A* time,Chebyshev,2,29,29,1
A* time,Octile,2,29,29,1
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,3,2,43,2
A* changes,Octile,3,2,43,2
Dijkstra,,42,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,3,29,29,1
A* time,Chebyshev,2,29,29,1
A* time,Octile,2,29,29,1
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,3,2,43,2
A* changes,Octile,3,2,43,2
Dijkstra,,42,29,29,1
A* time,Manhattan,2,41,41,2
A* time,Euclidean,3,29,29,1
A* time,Chebyshev,2,29,29,1
A* time,Octile,2,29,29,1
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,3,2,43,2
A* changes,Octile,3,2,43,2
Dijkstra,,45,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,3,29,29,1
A* time,Chebyshev,4,29,29,1
A* time,Octile,2,29,29,1
A* changes,Manhattan,5,2,43,2
A* changes,Euclidean,3,2,43,2
A* changes,Chebyshev,4,2,43,2
A* changes,Octile,4,2,43,2
Dijkstra,,43,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,3,29,29,1
A* time,Chebyshev,2,29,29,1
A* time,Octile,2,29,29,1
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,4,2,43,2
A* changes,Octile,4,2,43,2
Dijkstra,,42,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,3,29,29,1
A* time,Chebyshev,2,29,29,1
A* time,Octile,2,29,29,1
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,3,2,43,2
A* changes,Octile,4,2,43,2
Dijkstra,,44,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,3,29,29,1
A* time,Chebyshev,2,29,29,1
A* time,Octile,3,29,29,1
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,3,2,43,2
A* changes,Octile,4,2,43,2
