algorithm,heuristic,calculation_time,cost,ride_time,line_changes
Dijkstra,,86,29,29,1
A* time,Manhattan,6,41,41,2
A* time,Euclidean,11,41,41,2
A* time,Chebyshev,5,41,41,2
A* time,Octile,11,41,41,2
A* changes,Manhattan,12,2,43,2
A* changes,Euclidean,9,2,43,2
A* changes,Chebyshev,10,2,43,2
A* changes,Octile,6,2,43,2
Dijkstra,,97,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,7,41,41,2
A* time,Chebyshev,9,41,41,2
A* time,Octile,4,41,41,2
A* changes,Manhattan,10,2,43,2
A* changes,Euclidean,7,2,43,2
A* changes,Chebyshev,13,2,43,2
A* changes,Octile,12,2,43,2
Dijkstra,,100,29,29,1
A* time,Manhattan,3,41,41,2
A* time,Euclidean,2,41,41,2
A* time,Chebyshev,2,41,41,2
A* time,Octile,7,41,41,2
A* changes,Manhattan,5,2,43,2
A* changes,Euclidean,4,2,43,2
A* changes,Chebyshev,9,2,43,2
A* changes,Octile,5,2,43,2
Dijkstra,,73,29,29,1
A* time,Manhattan,6,41,41,2
A* time,Euclidean,3,41,41,2
A* time,Chebyshev,3,41,41,2
A* time,Octile,6,41,41,2
A* changes,Manhattan,9,2,43,2
A* changes,Euclidean,12,2,43,2
A* changes,Chebyshev,8,2,43,2
A* changes,Octile,12,2,43,2
Dijkstra,,80,29,29,1
A* time,Manhattan,2,41,41,2
A* time,Euclidean,3,41,41,2
A* time,Chebyshev,5,41,41,2
A* time,Octile,3,41,41,2
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,5,2,43,2
A* changes,Chebyshev,4,2,43,2
A* changes,Octile,6,2,43,2
Dijkstra,,46,29,29,1
A* time,Manhattan,2,41,41,2
A* time,Euclidean,3,41,41,2
A* time,Chebyshev,2,41,41,2
A* time,Octile,2,41,41,2
A* changes,Manhattan,5,2,43,2
A* changes,Euclidean,7,2,43,2
A* changes,Chebyshev,5,2,43,2
A* changes,Octile,6,2,43,2
Dijkstra,,52,29,29,1
A* time,Manhattan,5,41,41,2
A* time,Euclidean,2,41,41,2
A* time,Chebyshev,2,41,41,2
A* time,Octile,3,41,41,2
A* changes,Manhattan,5,2,43,2
A* changes,Euclidean,5,2,43,2
A* changes,Chebyshev,5,2,43,2
A* changes,Octile,5,2,43,2
Dijkstra,,53,29,29,1
A* time,Manhattan,2,41,41,2
A* time,Euclidean,3,41,41,2
A* time,Chebyshev,2,41,41,2
A* time,Octile,2,41,41,2
A* changes,Manhattan,5,2,43,2
A* changes,Euclidean,5,2,43,2
A* changes,Chebyshev,5,2,43,2
A* changes,Octile,4,2,43,2
Dijkstra,,51,29,29,1
A* time,Manhattan,4,41,41,2
A* time,Euclidean,2,41,41,2
A* time,Chebyshev,3,41,41,2
A* time,Octile,3,41,41,2
A* changes,Manhattan,5,2,43,2
A* changes,Euclidean,5,2,43,2
A* changes,Chebyshev,5,2,43,2
A* changes,Octile,5,2,43,2
Dijkstra,,67,29,29,1
A* time,Manhattan,4,41,41,2
A* time,Euclidean,2,41,41,2
A* time,Chebyshev,3,41,41,2
A* time,Octile,3,41,41,2
A* changes,Manhattan,4,2,43,2
A* changes,Euclidean,6,2,43,2
A* changes,Chebyshev,4,2,43,2
A* changes,Octile,5,2,43,2
